-181.425, 70.489, 2.437,  8.983
-181.411, 70.244, 2.461,  9.026
-181.405, 70.138, 2.471,  9.075
-181.398, 70.017, 2.483,  9.263
-181.386, 69.767, 2.508,  9.297
-181.382, 69.681, 2.517,  9.353
-181.376, 69.539, 2.531,  9.623
-181.366, 69.284, 2.556,  9.660
-181.362, 69.189, 2.566,  9.719
-181.357, 69.037, 2.581,  9.919
-181.348, 68.778, 2.606,  9.953
-181.346, 68.690, 2.615,  9.987
-181.343, 68.602, 2.624, 10.154
-181.337, 68.338, 2.650, 10.190
-181.334, 68.243, 2.660, 10.246
-181.331, 68.094, 2.675, 10.432
-181.326, 67.825, 2.702, 10.467
-181.324, 67.731, 2.711, 10.682
-181.320, 67.458, 2.738, 10.718
-181.319, 67.361, 2.748, 10.773
-181.317, 67.209, 2.763, 10.988
-181.314, 66.931, 2.790, 11.026
-181.313, 66.824, 2.801, 11.077
-181.312, 66.679, 2.816, 11.285
-181.310, 66.396, 2.844, 11.330
-181.309, 66.267, 2.857, 11.385
-181.308, 66.110, 2.872, 11.657
-181.307, 65.821, 2.901, 11.722
-181.307, 65.633, 2.919, 11.922
-181.307, 65.340, 2.948, 11.955
-181.307, 65.241, 2.958, 12.012
-181.307, 65.072, 2.974, 12.199
-181.308, 64.773, 3.004, 12.232
-181.308, 64.674, 3.014, 12.286
-181.308, 64.511, 3.031, 12.466
-181.310, 64.206, 3.061, 12.500
-181.310, 64.103, 3.071, 12.554
-181.311, 63.938, 3.088, 12.715
-181.312, 63.627, 3.119, 12.748
-181.313, 63.525, 3.129, 12.802
-181.314, 63.354, 3.146, 12.978
-181.316, 63.038, 3.178, 13.012
-181.316, 62.931, 3.188, 13.067
-181.318, 62.754, 3.206, 13.227
-181.320, 62.432, 3.238, 13.261
-181.321, 62.323, 3.249, 13.315
-181.322, 62.145, 3.267, 13.491
-181.324, 61.817, 3.300, 13.524
-181.325, 61.708, 3.311, 13.715
-181.327, 61.375, 3.343, 13.749
-181.328, 61.261, 3.355, 13.802
-181.330, 61.083, 3.373, 13.976
-181.332, 60.744, 3.406, 14.010
-181.333, 60.628, 3.418, 14.065
-181.334, 60.440, 3.437, 14.236
-181.337, 60.094, 3.472, 14.269
-181.338, 59.979, 3.483, 14.322
-181.339, 59.792, 3.502, 14.505
-181.342, 59.440, 3.537, 14.538
-181.343, 59.323, 3.549, 14.592
-181.344, 59.129, 3.568, 14.792
-181.346, 58.770, 3.604, 14.825
-181.347, 58.649, 3.616, 14.879
-181.349, 58.455, 3.635, 15.070
-181.351, 58.089, 3.672, 15.103
-181.352, 57.967, 3.684, 15.157
-181.353, 57.769, 3.704, 15.359
-181.355, 57.397, 3.741, 15.406
-181.356, 57.222, 3.759, 15.615
-181.359, 56.844, 3.796, 15.661
-181.360, 56.667, 3.814, 15.702
-181.360, 56.509, 3.829, 15.884
-181.362, 56.124, 3.868, 15.917
